Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
MEME-USD,Memetic / PepeCoin USD,0.2291,-0.01377,-5.67%,6.844M,"34,971","34,971","34,971",29.874M
IHC-USD,Inflation Hedging Coin USD,0.000057,-1e-06,-2.19%,6.785M,"56,947","56,947","56,947",119.643B
THG-USD,Thetan Arena USD,0.059609,-0.001305,-2.14%,6.771M,1.466M,1.466M,1.466M,113.585M
CBX-USD,CropBytes USD,0.039521,0.001411,0.037,6.77M,"459,299","459,299","459,299",171.294M
BASIC-USD,BASIC USD,0.000905,-6.6e-05,-6.79%,6.739M,1.153M,1.153M,1.153M,7.449B
VERSE22929-USD,Verse USD,0.000992,-9e-06,-0.90%,6.689M,"44,290","44,290","44,290",6.744B
GRIN-USD,Grin USD,0.067506,-0.000258,-0.38%,6.63M,"852,427","852,427","852,427",98.213M
PBR-USD,PolkaBridge USD,0.101768,-4e-06,0.00%,6.637M,2.142M,2.142M,2.142M,65.216M
SPA-USD,Sperax USD,0.004305,-0.00017,-3.80%,6.586M,"784,676","784,676","784,676",1.53B
BUY11750-USD,Buying.com USD,0.019821,0.000509,0.0263,6.576M,"237,261","237,261","237,261",331.79M
UPUNK-USD,Unicly CryptoPunks Collection USD,0.026104,-0.002153,-7.62%,6.526M,"37,480","37,480","37,480",250M
TRADE10465-USD,Polytrade USD,0.280091,-0.004678,-1.64%,6.46M,"620,686","620,686","620,686",23.065M
WHALE-USD,WHALE USD,0.700596,-0.009065,-1.28%,6.408M,"311,635","311,635","311,635",9.147M
EMRX-USD,Emirex Token USD,0.235099,-1.6e-05,-0.01%,6.409M,"43,223","43,223","43,223",27.259M
PAINT-USD,MurAll USD,0.00069,-7.7e-05,-9.98%,6.392M,"350,914","350,914","350,914",9.258B
ANC8857-USD,Anchor Protocol USD,0.018048,0.000563,0.0322,6.324M,1.086M,1.086M,1.086M,350.382M
OVR-USD,OVR USD,0.308612,0.005698,0.0188,6.308M,1.887M,1.887M,1.887M,20.44M
XEP-USD,Electra Protocol USD,0.000356,-5e-06,-1.37%,6.299M,"42,449","42,449","42,449",17.683B
MASQ-USD,MASQ USD,0.245638,0.014036,0.0606,6.279M,"132,781","132,781","132,781",25.561M
EQUAD-USD,QuadrantProtocol USD,0.015025,-0.000579,-3.71%,6.242M,"1,254","1,254","1,254",415.437M
EVZ-USD,Electric Vehicle Zone USD,0.014099,0.00354,0.3353,6.242M,"129,576","129,576","129,576",442.733M
LTX-USD,Lattice Token USD,0.214572,-0.023924,-10.03%,6.148M,"117,765","117,765","117,765",28.654M
ONE-USD,Harmony USD,0.000651,-1e-05,-1.56%,6.151M,6,6,6,9.449B
DFYN-USD,Dfyn Network USD,0.032882,-0.001789,-5.16%,6.114M,"235,143","235,143","235,143",185.93M
BF-USD,BitForex Token USD,0.001414,-1.6e-05,-1.13%,6.067M,"560,724","560,724","560,724",4.289B
NSBT-USD,Neutrino Token USD,2.2591,0.0663,0.0302,6.115M,"27,171","27,171","27,171",2.707M
SHILL-USD,SHILL Token USD,0.017,0.000635,0.0388,6.07M,"626,393","626,393","626,393",357.074M
NXS-USD,Nexus USD,0.081779,-0.011536,-12.36%,6.059M,"10,829","10,829","10,829",74.085M
GULF-USD,Gulf Coin USD,0.052816,0.000573,0.011,6.054M,"897,812","897,812","897,812",114.627M
CLO-USD,Callisto Network USD,0.001943,-2.5e-05,-1.26%,6.031M,"8,362","8,362","8,362",3.105B
VDAI-USD,Venus DAI USD,0.021763,3e-06,0.0001,5.975M,"158,331","158,331","158,331",274.538M
TRVL-USD,TRVL USD,0.050037,-8e-05,-0.16%,5.941M,"160,179","160,179","160,179",118.742M
CAS-USD,Cashaa USD,0.007032,0.000247,0.0363,5.763M,"136,372","136,372","136,372",819.528M
EPIK-USD,EPIK Prime USD,0.007124,-0.00021,-2.86%,5.751M,"233,156","233,156","233,156",807.202M
SN-USD,SpaceN USD,0.249633,0.027748,0.1251,5.744M,"14,449","14,449","14,449",23.01M
BOTTO-USD,Botto USD,0.209862,-0.004563,-2.13%,5.742M,"401,944","401,944","401,944",27.363M
VID-USD,Vivid Labs USD,0.034258,-0.00187,-5.18%,5.69M,"77,428","77,428","77,428",166.087M
OXB-USD,Oxbull.tech USD,0.778192,0.065236,0.0915,5.644M,"15,737","15,737","15,737",7.253M
MTC-USD,DOC.COM USD,0.007246,-4e-05,-0.55%,5.606M,"508,746","508,746","508,746",773.58M
BNC8705-USD,Bifrost USD,0.274365,-0.012677,-4.42%,5.592M,"105,315","105,315","105,315",20.382M
ID-USD,Everest USD,0.047349,0.000268,0.0057,5.526M,"5,671","5,671","5,671",116.7M
WIKEN-USD,Project WITH USD,0.005786,-0.0001,-1.69%,5.521M,"143,682","143,682","143,682",954.188M
GRG-USD,RigoBlock USD,2.0442,-0.0406,-1.95%,5.522M,30,30,30,2.701M
PKT9523-USD,PKT USD,0.001647,0.000125,0.0823,5.515M,"83,370","83,370","83,370",3.348B
SCP-USD,ScPrime USD,0.118096,-0.004014,-3.29%,5.51M,"8,521","8,521","8,521",46.656M
KMA-USD,Calamari Network USD,0.001925,-1.8e-05,-0.91%,5.497M,"26,995","26,995","26,995",2.856B
MWC-USD,MimbleWimbleCoin USD,0.502891,-0.03941,-7.27%,5.483M,164,164,164,10.904M
REAP-USD,ReapChain USD,0.017779,-0.000134,-0.75%,5.471M,1.483M,1.483M,1.483M,307.7M
NOW-USD,ChangeNOW Token USD,0.064163,0.0,0.00%,5.441M,"28,523","28,523","28,523",84.804M
CIRUS-USD,Cirus Foundation USD,0.086724,-0.000279,-0.32%,5.428M,"428,900","428,900","428,900",62.59M
CGG-USD,ChainGuardians USD,0.087672,-0.00058,-0.66%,5.39M,"149,598","149,598","149,598",61.478M
POLA-USD,Polaris Share USD,0.019872,8e-06,0.0004,5.377M,"78,153","78,153","78,153",270.572M
BLP-USD,BullPerks USD,0.065549,-0.000206,-0.31%,5.376M,"122,936","122,936","122,936",82.019M
XRT-USD,Robonomics.network USD,5.7328,-0.0185,-0.32%,5.335M,"119,280","119,280","119,280","930,539"
BTC2-USD,Bitcoin 2 USD,0.295484,-0.005097,-1.70%,5.305M,10,10,10,17.954M
FRTS-USD,Fruits USD,0.000251,0.0,0,5.282M,"228,361","228,361","228,361",21.067B
NEX-USD,Nash USD,0.134174,0.011467,0.0935,5.22M,"7,638","7,638","7,638",38.908M
UNB-USD,Unbound USD,0.002863,-0.0003,-9.49%,5.206M,"479,801","479,801","479,801",1.819B
BOLT-USD,BOLT USD,0.005229,-0.0003,-5.42%,5.183M,"326,308","326,308","326,308",991.283M
SHR-USD,ShareToken USD,0.00219,-5.7e-05,-2.55%,5.19M,"76,112","76,112","76,112",2.37B
TAROT-USD,Tarot USD,0.102552,-0.002344,-2.23%,5.168M,"112,354","112,354","112,354",50.396M
KASTA-USD,Kasta USD,0.025471,-4e-06,-0.02%,5.167M,"442,481","442,481","442,481",202.874M
GHX-USD,GamerCoin USD,0.008349,0.000448,0.0568,5.163M,"135,698","135,698","135,698",618.379M
LNC-USD,Linker Coin USD,0.045658,-0.000168,-0.37%,5.149M,"5,699","5,699","5,699",112.776M
XPX-USD,ProximaX USD,0.000844,-8e-06,-0.89%,5.149M,"43,750","43,750","43,750",6.097B
SPC-USD,SpaceChain USD,0.016672,0.001977,0.1345,5.121M,"41,474","41,474","41,474",307.183M
TON-USD,Tokamak Network USD,1.8832,-0.0451,-2.34%,5.136M,24.245M,24.245M,24.245M,2.727M
MYST-USD,Mysterium USD,0.256283,-0.004945,-1.89%,5.134M,"171,688","171,688","171,688",20.034M
OLE-USD,OpenLeverage USD,0.027105,-0.002132,-7.29%,5.113M,"604,357","604,357","604,357",188.631M
BTR4167-USD,Bitrue Coin USD,0.038809,0.000266,0.0069,5.1M,2.968M,2.968M,2.968M,131.421M
GRND-USD,SuperWalk USD,0.129288,-0.002013,-1.53%,5.072M,"32,546","32,546","32,546",39.233M
STAKE-USD,STAKE USD,0.599077,-0.118152,-16.47%,5.068M,40,40,40,8.46M
SLIM-USD,Solanium USD,0.050515,-0.000606,-1.19%,5.052M,"769,785","769,785","769,785",100M
PLASTIK-USD,Plastiks USD,0.033,0.000306,0.0093,5.031M,"228,665","228,665","228,665",152.452M
CRP-USD,Crypton USD,0.623728,0.003358,0.0054,4.987M,"252,669","252,669","252,669",7.996M
TRIAS-USD,Trias Token (new) USD,3.0943,-0.1698,-5.20%,4.951M,1.026M,1.026M,1.026M,1.6M
ARV-USD,Ariva USD,0.000068,-2e-06,-3.07%,4.948M,"948,568","948,568","948,568",72.553B
LOVELY-USD,Lovely Inu Finance USD,0.00000007,0.0,-4.59%,4.914M,"909,518","909,518","909,518",69.747T
TITAN-USD,TitanSwap USD,0.052991,-0.000432,-0.81%,4.908M,"478,053","478,053","478,053",92.615M
VSXP-USD,Venus SXP USD,0.012362,-0.001072,-7.98%,4.904M,411,411,411,396.675M
GMEE-USD,GAMEE USD,0.01176,-9.4e-05,-0.79%,4.872M,"219,673","219,673","219,673",414.326M
CHI-USD,Xaya USD,0.091653,-0.003103,-3.27%,4.837M,"11,636","11,636","11,636",52.774M
KARMA-USD,KARMA USD,0.000882,-3e-06,-0.37%,4.81M,5,5,5,5.451B
UNO8875-USD,Uno Re USD,0.065529,-0.00094,-1.41%,4.799M,"312,197","312,197","312,197",73.232M
BONDLY-USD,Forj(Bondly) USD,0.006085,-3.3e-05,-0.54%,4.797M,"756,945","756,945","756,945",788.287M
XNO8368-USD,Xeno Token USD,0.004055,-0.000513,-11.22%,4.8M,1.422M,1.422M,1.422M,1.184B
IGNIS-USD,Ignis USD,0.006253,-4.8e-05,-0.76%,4.759M,"18,996","18,996","18,996",761.144M
PCX-USD,ChainX USD,0.377607,-0.018906,-4.77%,4.722M,"92,619","92,619","92,619",12.505M
EDG5274-USD,Edgeware USD,0.000743,-3.8e-05,-4.84%,4.715M,"112,641","112,641","112,641",6.35B
SYLO-USD,Sylo USD,0.001939,8.7e-05,4.68%,4.714M,1.803M,1.803M,1.803M,2.432B
SHFT-USD,Shyft Network USD,0.007061,-6.5e-05,-0.92%,4.713M,"19,646","19,646","19,646",667.497M
CCT-USD,Carbon Credit USD,0.276377,-0.001308,-0.47%,4.695M,"52,384","52,384","52,384",16.989M
STFX-USD,STFX USD,0.026905,5e-06,0.02%,4.673M,"237,544","237,544","237,544",173.69M
BUX-USD,BUX Token USD,0.080121,0.004186,5.51%,4.639M,"25,969","25,969","25,969",57.905M
MOOV-USD,Dotmoovs USD,0.006337,1.2e-05,0.19%,4.634M,"605,923","605,923","605,923",731.18M
SWFTC-USD,SwftCoin USD,0.001153,5e-05,4.49%,4.618M,2.973M,2.973M,2.973M,4.005B
AIMX23684-USD,Aimedis (new) USD,0.013865,-0.000232,-1.65%,4.617M,"42,723","42,723","42,723",333M
VIDYA-USD,Vidya USD,0.11401,-0.001252,-1.09%,4.605M,"152,851","152,851","152,851",40.392M
GFI-USD,Gravity Finance USD,0.013042,7.4e-05,0.57%,4.594M,"10,447","10,447","10,447",352.267M
MOD-USD,Modefi USD,0.288089,0.000709,0.25%,4.574M,"32,030","32,030","32,030",15.876M
PROB-USD,ProBit Token USD,0.107844,-0.0011,-1.01%,4.529M,894,894,894,42M
PPC22845-USD,Pokemon Play USD,0.670282,0.0,0.00%,4.524M,165,165,165,6.749M
ASK-USD,Permission Coin USD,0.00028,-3.3e-05,-10.46%,4.523M,"10,802","10,802","10,802",16.167B
BEND-USD,BendDAO USD,0.011775,-0.000173,-1.45%,4.503M,"743,271","743,271","743,271",382.459M
TRA-USD,Trabzonspor Fan Token USD,1.138,-0.0029,-0.25%,4.465M,"950,370","950,370","950,370",3.923M
PI-USD,Pi USD,0.004506,-5.1e-05,-1.13%,4.472M,"14,003","14,003","14,003",992.418M
VLINK-USD,Venus LINK USD,0.144148,-0.002578,-1.76%,4.455M,"4,842","4,842","4,842",30.907M
RAVEN-USD,Raven Protocol USD,0.000988,-4.6e-05,-4.48%,4.442M,"8,779","8,779","8,779",4.494B
MTV-USD,MultiVAC USD,0.001236,4e-06,0.29%,4.433M,"224,790","224,790","224,790",3.587B
CARD-USD,Cardstack USD,0.00188,2.1e-05,1.14%,4.433M,"169,542","169,542","169,542",2.358B
SFI-USD,saffron.finance USD,48.06,0.49,1.03%,4.421M,"21,718","21,718","21,718","91,982"
SMT11821-USD,Swarm Markets USD,0.134747,0.004331,3.32%,4.416M,"161,466","161,466","161,466",32.77M
POLK-USD,Polkamarkets USD,0.046255,-0.000311,-0.67%,4.387M,"103,211","103,211","103,211",94.852M
DGD-USD,DigixDAO USD,59.29,-9.62,-13.97%,4.38M,0,0,0,"73,873"
VSYS-USD,v.systems USD,0.001539,-1.4e-05,-0.92%,4.327M,"308,188","308,188","308,188",2.811B
DOBO-USD,DogeBonk USD,0.00000001,0.0,0.38%,4.312M,"1,412","1,412","1,412",582.96T
TARA-USD,Taraxa USD,0.001462,4.3e-05,3.06%,4.31M,"227,650","227,650","227,650",2.947B
CARBON-USD,Carboncoin USD,0.000279,-1e-06,-0.37%,4.298M,66,66,66,15.392B
SIS-USD,Symbiosis USD,0.12506,0.01599,14.66%,4.294M,"507,426","507,426","507,426",34.334M
NAV-USD,Navcoin USD,0.05652,-0.000207,-0.36%,4.289M,"2,745","2,745","2,745",75.881M
KROM-USD,Kromatika USD,0.053119,-0.00192,-3.49%,4.264M,"77,872","77,872","77,872",80.281M
BAAS-USD,BaaSid USD,0.000664,7e-06,1.04%,4.251M,1.022M,1.022M,1.022M,6.4B
INV-USD,Inverse Finance USD,45.4,-0.1,-0.22%,4.255M,"103,132","103,132","103,132","93,725"
LABS-USD,LABS Group USD,0.001918,0.000591,44.51%,4.252M,1.728M,1.728M,1.728M,2.217B
TRIX-USD,TriumphX USD,0.00083,-0.000102,-10.99%,4.249M,"222,687","222,687","222,687",5.122B
ADK-USD,Aidos Kuneen USD,0.16964,0.100154,144.13%,4.241M,9,9,9,25M
ATRI-USD,Atari Token USD,0.002861,-2.7e-05,-0.93%,4.238M,"9,370","9,370","9,370",1.481B
XDB-USD,DigitalBits USD,0.001388,7e-05,5.30%,4.244M,1.839M,1.839M,1.839M,3.057B
MONA7866-USD,Monavale USD,400.28,-9.71,-2.37%,4.169M,"114,007","114,007","114,007","10,414"
LBL-USD,LABEL Foundation USD,0.003652,3.4e-05,0.94%,4.168M,"528,873","528,873","528,873",1.141B
TEN-USD,Tokenomy USD,0.020815,-0.000335,-1.58%,4.163M,"3,570","3,570","3,570",200M
SIGNA-USD,Signum USD,0.001948,-0.000939,-32.53%,4.15M,"2,914","2,914","2,914",2.131B
HORD-USD,Hord USD,0.0467,-0.00036,-0.76%,4.138M,"208,588","208,588","208,588",88.616M
XMON-USD,XMON USD,"2,755.06",109.3,4.13%,4.119M,"50,051","50,051","50,051","1,494"
SNC-USD,SunContract USD,0.033475,-0.000515,-1.52%,4.108M,"344,457","344,457","344,457",122.708M
BITCNY-USD,bitCNY USD,0.145148,0.000109,0.08%,4.1M,"494,151","494,151","494,151",28.246M
GSWAP-USD,Gameswap USD,0.359867,0.007357,2.09%,4.074M,"189,265","189,265","189,265",11.32M
THE23335-USD,THENA USD,0.266321,-0.024814,-8.52%,4.072M,"459,447","459,447","459,447",15.292M
PSTAKE-USD,pSTAKE Finance USD,0.091331,-0.002113,-2.26%,4.05M,"639,767","639,767","639,767",44.347M
GEEQ-USD,Geeq USD,0.104217,-0.003871,-3.58%,4.015M,"423,928","423,928","423,928",38.522M
TRV-USD,TrustVerse USD,0.00463,3.6e-05,0.79%,4M,"95,969","95,969","95,969",863.796M
DERI-USD,Deri Protocol USD,0.02052,-0.000457,-2.18%,3.984M,"75,471","75,471","75,471",194.142M
TOMS-USD,TomTomCoin USD,0.002083,-8.8e-05,-4.07%,3.973M,"36,523","36,523","36,523",1.907B
RUSH-USD,RUSH COIN USD,0.002525,3.9e-05,1.56%,3.999M,"724,300","724,300","724,300",1.584B
RED21690-USD,RED TOKEN USD,0.000608,-5.2e-05,-7.82%,3.95M,"497,173","497,173","497,173",6.501B
AWC-USD,Atomic Wallet Coin USD,0.369195,-0.017402,-4.50%,3.915M,"27,294","27,294","27,294",10.604M
ARG-USD,Argentine Football Association Fan Token USD,1.0531,-0.0936,-8.17%,3.946M,1.243M,1.243M,1.243M,3.747M
IPAD-USD,Infinity PAD USD,0.003912,1.9e-05,0.50%,3.912M,"3,646","3,646","3,646",1B
FOAM-USD,FOAM USD,0.012343,-4.6e-05,-0.37%,3.907M,35,35,35,316.572M
DIP-USD,Etherisc DIP Token USD,0.016294,-0.000586,-3.47%,3.906M,"54,759","54,759","54,759",239.742M
ROCO12653-USD,ROCO FINANCE USD,0.225664,-7e-05,-0.03%,3.904M,"556,237","556,237","556,237",17.299M
SAN-USD,Santiment Network Token USD,0.061089,-0.001853,-2.94%,3.867M,"5,158","5,158","5,158",63.294M
ARA11738-USD,Adora Token USD,0.024013,-0.002003,-7.70%,3.842M,"2,994","2,994","2,994",160M
DYP-USD,Dypius USD,0.162504,0.021359,15.13%,3.84M,1.471M,1.471M,1.471M,23.631M
HC-USD,HyperCash USD,0.084745,0.001303,1.56%,3.82M,"854,351","854,351","854,351",45.072M
TRR-USD,Terran Coin USD,0.161725,-0.001627,-1.00%,3.825M,2.934M,2.934M,2.934M,23.653M
VALOR-USD,Valor Token USD,0.191143,-0.019637,-9.32%,3.83M,"214,881","214,881","214,881",20.036M
GLQ-USD,Graphlinq Chain USD,0.01122,-0.000911,-7.51%,3.815M,"517,330","517,330","517,330",340M
ABYSS-USD,Abyss USD,0.016561,-0.000266,-1.58%,3.787M,"159,464","159,464","159,464",228.665M
STACK9201-USD,StackOs USD,0.007828,-2.6e-05,-0.34%,3.783M,"7,828","7,828","7,828",483.183M
PEAK-USD,Peak Finance USD,0.002245,-0.000147,-6.16%,3.722M,"106,343","106,343","106,343",1.658B
1WO-USD,1World USD,0.099952,0.00127,1.29%,3.72M,"5,906","5,906","5,906",37.219M
NEER-USD,Metaverse.Network Pioneer USD,0.19051,0.001212,0.64%,3.706M,"82,421","82,421","82,421",19.453M
FST-USD,1irstcoin USD,0.07598,-0.000996,-1.29%,3.699M,"41,694","41,694","41,694",48.682M
XEND-USD,Xend Finance USD,0.031036,-0.001199,-3.72%,3.676M,"69,558","69,558","69,558",118.435M
STRP-USD,Strips Finance USD,0.889801,-0.064826,-6.79%,3.671M,"124,161","124,161","124,161",4.126M
CTI-USD,ClinTex CTi USD,0.029465,-0.001101,-3.60%,3.667M,"362,511","362,511","362,511",124.445M
TKP-USD,TOKPIE USD,0.127256,-0.007929,-5.87%,3.654M,"19,494","19,494","19,494",28.714M
EOSC-USD,EOS Force USD,0.003757,-0.000101,-2.63%,3.622M,"199,646","199,646","199,646",964.07M
JGN-USD,Juggernaut USD,0.036025,0.00101,2.88%,3.61M,"279,851","279,851","279,851",100.21M
FRM-USD,Ferrum Network USD,0.054826,-0.000918,-1.65%,3.603M,"543,797","543,797","543,797",65.717M
SAFEMOON-USD,SafeMoon USD,0.00000001,0.0,-0.62%,3.6M,0,0,0,561.985T
COLX-USD,ColossusXT USD,0.000279,-1e-06,-0.37%,3.555M,86,86,86,12.732B
NVT-USD,NerveNetwork USD,0.012808,3e-05,0.24%,3.548M,"41,587","41,587","41,587",276.984M
STBU-USD,Stobox Token USD,0.039436,-0.002876,-6.80%,3.544M,"117,238","117,238","117,238",89.869M
AZIT-USD,azit USD,0.144893,-2e-06,0.00%,3.539M,"572,758","572,758","572,758",24.428M
YAM7131-USD,YAM V3 USD,0.238726,0.000384,0.16%,3.52M,"4,240","4,240","4,240",14.745M
XTN-USD,Neutrino Index USD,0.067664,0.000293,0.43%,3.517M,"46,106","46,106","46,106",51.981M
LITH-USD,Lithium USD,0.000802,-1.7e-05,-2.03%,3.504M,"364,938","364,938","364,938",4.371B
NXT-USD,Next Token USD,0.003496,0.000318,10.01%,3.493M,"3,723","3,723","3,723",999M
GMCOIN-USD,GMCoin USD,0.084778,-0.000569,-0.67%,3.491M,"318,750","318,750","318,750",41.183M
HOT-USD,Hydro Protocol USD,0.004918,-1.9e-05,-0.38%,3.453M,6,6,6,702M
SENATE-USD,SENATE USD,0.058439,-0.004857,-7.67%,3.454M,"174,741","174,741","174,741",59.1M
PEX16104-USD,PearDAO USD,0.065805,-0.00079,-1.19%,3.442M,"103,764","103,764","103,764",52.3M
GOM2-USD,AnimalGo USD,0.003554,-5.9e-05,-1.64%,3.435M,"264,266","264,266","264,266",966.64M
ROOBEE-USD,ROOBEE USD,0.000836,6e-06,0.71%,3.429M,"580,053","580,053","580,053",4.102B
MHC-USD,#MetaHash USD,0.000879,-6e-06,-0.72%,3.411M,"35,223","35,223","35,223",3.88B
ZASH-USD,ZIMBOCASH USD,0.002131,0.0,-0.01%,3.39M,451,451,451,1.591B
XCHF-USD,CryptoFranc USD,1.093,-0.0028,-0.26%,3.388M,"7,880","7,880","7,880",3.1M
MOBI-USD,Mobius USD,0.006556,-1.7e-05,-0.25%,3.391M,"18,537","18,537","18,537",517.158M
XCV-USD,XCarnival USD,0.004265,1.6e-05,0.37%,3.372M,"240,578","240,578","240,578",790.641M
INSUR-USD,InsurAce USD,0.075077,-0.000847,-1.11%,3.37M,"268,328","268,328","268,328",44.892M
MINT10977-USD,Mint Club USD,0.00000323,-1e-08,-0.41%,3.362M,"12,637","12,637","12,637",1.041T
VSP-USD,Vesper USD,0.369353,-0.011208,-2.95%,3.336M,"30,403","30,403","30,403",9.032M
O3-USD,O3 Swap USD,0.064849,0.000242,0.37%,3.338M,"166,950","166,950","166,950",51.468M
OTO-USD,OTO Protocol USD,0.090051,1e-06,0.00%,3.316M,28,28,28,36.821M
ITGR-USD,Integral USD,0.021671,0.0001,0.46%,3.292M,"60,624","60,624","60,624",151.908M
STAT-USD,STAT USD,0.152211,0.006121,4.19%,3.279M,"287,219","287,219","287,219",21.543M
BFT-USD,BnkToTheFuture USD,0.004466,2.4e-05,0.55%,3.26M,"16,181","16,181","16,181",729.956M
PSP-USD,ParaSwap USD,0.044627,-0.000656,-1.45%,3.253M,"93,170","93,170","93,170",72.891M
MATTER-USD,AntiMatter Token USD,0.103181,-0.005574,-5.13%,3.23M,"317,977","317,977","317,977",31.301M
VEMP-USD,VEMP USD,0.014596,-0.000849,-5.50%,3.222M,1.116M,1.116M,1.116M,220.723M
PXP-USD,Pirate X Pirate USD,0.010648,9.6e-05,0.91%,3.221M,"168,162","168,162","168,162",302.501M
WALV-USD,Alvey Chain USD,0.038448,-0.000546,-1.40%,3.209M,1.652M,1.652M,1.652M,83.466M
ENQ-USD,Enecuum USD,0.011175,-0.001518,-11.96%,3.197M,"286,882","286,882","286,882",286.089M
CMP20056-USD,Caduceus USD,0.086926,0.001762,2.07%,3.193M,1.136M,1.136M,1.136M,36.732M
LCC-USD,Litecoin Cash USD,0.004059,-1.5e-05,-0.37%,3.168M,139,139,139,780.491M
SHX-USD,Stronghold Token USD,0.000544,-1.2e-05,-2.21%,3.152M,"62,922","62,922","62,922",5.794B
POSI-USD,Position Exchange USD,0.039332,0.000925,2.41%,3.155M,2.92M,2.92M,2.92M,80.202M
FB11308-USD,Fenerbahçe Token USD,1.4537,-0.0017,-0.12%,3.169M,2.072M,2.072M,2.072M,2.18M
LGCY-USD,LGCY Network USD,0.000248,3e-06,1.35%,3.15M,"22,507","22,507","22,507",12.714B
HZN-USD,Horizon Protocol USD,0.039762,-0.001644,-3.97%,3.147M,"88,934","88,934","88,934",79.136M
SALT-USD,SALT USD,0.039468,-0.000105,-0.26%,3.169M,"24,546","24,546","24,546",80.284M
REVV-USD,REVV USD,0.011256,-0.000142,-1.24%,3.132M,1.398M,1.398M,1.398M,278.271M
NFTB-USD,NFTb USD,0.012551,-0.000398,-3.07%,3.131M,"128,706","128,706","128,706",249.435M
CDT-USD,CheckDot USD,0.404175,-0.001509,-0.37%,3.131M,"161,241","161,241","161,241",7.746M
POR-USD,Portuma USD,0.998292,-0.063784,-6.01%,3.097M,1.138M,1.138M,1.138M,3.103M
XFC-USD,Footballcoin (XFC) USD,0.008213,4e-06,0.05%,3.077M,"93,603","93,603","93,603",374.661M
XTM-USD,Torum USD,0.0182,-0.00013,-0.71%,3.074M,"545,917","545,917","545,917",168.897M
UBX-USD,UBIX.Network USD,0.000067,-3e-06,-4.43%,3.073M,"316,848","316,848","316,848",45.558B
RVLT-USD,Revolt 2 Earn USD,0.00000005,0.0,-1.62%,3.056M,"216,481","216,481","216,481",59.816T
RDD-USD,ReddCoin USD,0.0001,0.0,0.00%,3.041M,"6,967","6,967","6,967",30.397B
METAG-USD,MetagamZ USD,0.000304,-1.1e-05,-3.37%,3.038M,"39,119","39,119","39,119",10B
TIFI-USD,TiFi Token USD,0.00000004,0.0,-2.22%,3.023M,"44,448","44,448","44,448",78.437T
TKN-USD,Monolith USD,0.087285,-0.00037,-0.42%,3.017M,2,2,2,34.56M
MUSE-USD,Muse USD,5.906,0.1109,1.91%,3.004M,"573,455","573,455","573,455","508,554"
OMC10228-USD,omchain USD,0.032291,0.000634,2.00%,2.997M,"497,665","497,665","497,665",92.809M
REV-USD,RChain USD,0.004231,1.2e-05,0.29%,3.002M,"43,830","43,830","43,830",709.47M
FKX-USD,FortKnoxster USD,0.019917,-0.001052,-5.02%,2.988M,"50,073","50,073","50,073",150M
RGT-USD,Rari Governance Token USD,0.239334,-0.001542,-0.64%,2.985M,"1,326","1,326","1,326",12.472M
STRX-USD,StrikeX USD,0.021748,-0.000488,-2.19%,2.958M,"34,921","34,921","34,921",136.009M
FRIN-USD,Fringe Finance USD,0.004469,-0.000172,-3.70%,2.925M,"176,740","176,740","176,740",654.583M
SIN12813-USD,Sinverse USD,0.008113,0.00055,7.28%,2.915M,"491,767","491,767","491,767",359.251M
ISP-USD,Ispolink USD,0.001047,-4.5e-05,-4.10%,2.885M,"496,547","496,547","496,547",2.756B
ARDX-USD,ArdCoin USD,0.010367,0.001395,15.55%,2.88M,"135,851","135,851","135,851",277.808M
AGRS-USD,Agoras: Currency of Tau USD,0.158911,-0.006569,-3.97%,2.86M,"6,502","6,502","6,502",18M
DICE21262-USD,Klaydice USD,0.039433,-0.000649,-1.62%,2.859M,"118,524","118,524","118,524",72.5M
ERSDL-USD,unFederalReserve USD,0.006562,-1.2e-05,-0.18%,2.859M,"7,978","7,978","7,978",435.645M
CUMMIES-USD,CumRocket USD,0.002157,-4.5e-05,-2.03%,2.848M,"14,627","14,627","14,627",1.32B
MANDOX19747-USD,MandoX V2 USD,0.00000019,-1e-08,-5.90%,2.835M,"47,152","47,152","47,152",14.937T
SHOP21772-USD,Shopping.io USD,0.028384,-0.000359,-1.25%,2.835M,"3,763","3,763","3,763",99.876M
BLY-USD,Blocery USD,0.004304,-7e-06,-0.17%,2.825M,"60,430","60,430","60,430",656.228M
ZIG-USD,Zigcoin USD,0.006693,0.000282,4.40%,2.821M,"438,644","438,644","438,644",421.534M
UFC11533-USD,UFC Fan Token USD,1.2534,0.0731,6.19%,2.82M,"50,293","50,293","50,293",2.25M
AXIS8849-USD,AXIS Token USD,0.008742,3.1e-05,0.35%,2.8M,127,127,127,320.303M
LIME-USD,iMe Lab USD,0.011349,3.6e-05,0.32%,2.798M,"376,286","376,286","376,286",246.57M
SWINGBY-USD,Swingby USD,0.003204,-0.000176,-5.21%,2.787M,"594,199","594,199","594,199",870M
RAZOR-USD,Razor Network USD,0.00849,-8.9e-05,-1.03%,2.787M,"461,813","461,813","461,813",328.246M
GST20236-USD,Green Satoshi Token (BSC) USD,0.022029,-0.004069,-15.59%,2.787M,"58,397","58,397","58,397",126.498M
